index,plat,plang,nb_pickups,restaurant
0,46.520649,6.635173,995,?
1,46.517115999999994,6.630342,390,Subway
2,46.522014,6.627691,171,?
3,46.518914,6.637911999999999,81,?
4,46.521701,6.639626,63,Zooburger (L'Ours)
5,46.510731,6.630553,55,Zooburger (Mon Loisir)
6,46.522426,6.642152,36,Le Duo Thai & Sushi
7,46.521328999999994,6.630481,30,Burger King
8,46.523953000000006,6.625008,24,Viita Food
9,46.522719,6.63815,19,?
10,46.517671,6.638005000000001,19,?
11,46.531433,6.62643,17,?
12,46.527087,6.604758,15,?
13,46.507833000000005,6.652842,14,Bambou Sushi Bar
14,46.527964000000004,6.630955999999999,12,?
15,46.523787,6.630911,12,?
16,46.536840000000005,6.581138,7,?
17,46.520946,6.63368,6,?
18,46.522226,6.6268270000000005,5,?
19,46.522783000000004,6.639384,3,?
20,46.522273,6.630044,3,?
21,46.519517,6.639571000000001,3,?
22,46.535762,6.6074720000000005,3,?
23,46.527252000000004,6.623525999999999,3,?
24,46.518684,6.637826,3,?
25,46.523815,6.636847,2,?
26,46.526720000000005,6.638082000000001,2,?
27,46.525731,6.634123,2,Le Mondial
28,46.525477,6.632925,2,?
29,46.531225,6.633482000000001,1,?
30,46.533304,6.617839999999999,1,?
31,46.517122,6.613410000000001,1,?
